SPEC,STRAT,YEAR,INT,sampleID,right.total.length.mm,left.total.length.mm
4618,335.6,15285.342,15500,NA,NA,NA
4619,339.5,15159.049,15250,NA,NA,NA
4620,334.4,15324.202,15500,NA,NA,NA
4621,339,15175.24,15250,NA,NA,NA
4622,347,14919.416,15000,NA,NA,NA
4623,340.1,15139.619,15250,NA,NA,NA
4624,347.6,14899.986,15000,NA,NA,NA
4625,349.1,14851.411,15000,NA,NA,NA
4626,351.5,14773.693,15000,NA,NA,NA
4627,345.7,14961.513,15000,NA,NA,NA
4628,335.3,15295.057,15500,NA,NA,NA
4629,347.2,14912.939,15000,NA,NA,NA
4630,345.4,14971.228,15000,NA,NA,NA
4631,347,14919.416,15000,NA,NA,NA
4632,336.2,15265.913,15500,NA,NA,NA
4633,345.7,14961.513,15000,NA,NA,NA
4634,345.3,14974.466,15000,NA,NA,NA
4635,339.5,15159.049,15250,NA,NA,NA
4636,338,15207.623,15250,NA,NA,NA
4637,345.8,14958.275,15000,NA,NA,NA
4638,349.5,14838.458,15000,NA,NA,NA
4639,349.3,14844.935,15000,NA,NA,NA
4640,337.2,15233.53,15250,NA,NA,NA
4641,340,15142.858,15250,NA,NA,NA
4642,346.6,14932.369,15000,NA,NA,NA
4643,347.7,14896.748,15000,NA,NA,NA
4644,348.5,14870.841,15000,NA,NA,NA
4645,348.7,14864.365,15000,NA,NA,NA
4646,345,14984.181,15000,NA,NA,NA
4647,345,14984.181,15000,NA,NA,NA
4648,347.6,14899.986,15000,NA,NA,NA
4649,346.9,14922.654,15000,NA,NA,NA
4650,345,14984.181,15000,NA,NA,NA
4651,344.5,14997.135,15000,NA,NA,NA
4652,350.1,14819.029,15000,NA,NA,NA
4653,335.6,15285.342,15500,NA,NA,NA
4654,353.4,14712.165,14750,NA,NA,NA
4655,351.5,14773.693,15000,NA,NA,NA
4656,346.6,14932.369,15000,NA,NA,NA
4657,339,15175.24,15250,NA,NA,NA
4658,336.2,15265.913,15500,NA,NA,NA
4659,347.2,14912.939,15000,NA,NA,NA
4660,344.3,15003.611,15250,NA,NA,NA
4661,345.2,14977.705,15000,NA,NA,NA
4662,344.7,14990.658,15000,NA,NA,NA
4663,345,14984.181,15000,NA,NA,NA
4664,335.6,15285.342,15500,NA,NA,NA
4665,345.6,14964.752,15000,NA,NA,NA
4666,335.9,15275.627,15500,NA,NA,NA
4667,344.8,14987.42,15000,NA,NA,NA
4668,338,15207.623,15250,NA,NA,NA
4669,344.7,14990.658,15000,NA,NA,NA
4670,345.2,14977.705,15000,NA,NA,NA
4671,338.2,15201.147,15250,NA,NA,NA
4672,337,15240.006,15250,NA,NA,NA
4673,345.4,14971.228,15000,NA,NA,NA
4674,336.3,15262.674,15500,NA,NA,NA
4676,320.4,15750.037,16000,NA,NA,NA
4677,346.2,14945.322,15000,NA,NA,NA
4678,346.6,14932.369,15000,NA,NA,NA
4679,346.4,14938.845,15000,NA,NA,NA
4680,334.7,15314.487,15500,NA,NA,NA
4681,345,14984.181,15000,NA,NA,NA
4682,345.5,14967.99,15000,NA,NA,NA
4683,346.9,14922.654,15000,NA,NA,NA
4684,344.7,14990.658,15000,NA,NA,NA
4685,344.7,14990.658,15000,NA,NA,NA
4686,347,14919.416,15000,NA,NA,NA
4687,345.9,14955.037,15000,NA,NA,NA
4688.1,317,15860.139,16000,NA,NA,NA
4688.2,317,15860.139,16000,NA,NA,NA
4689,318.6,15808.326,16000,NA,NA,NA
4690,346.6,14932.369,15000,NA,NA,NA
4691,347.7,14896.748,15000,NA,NA,NA
