"","univ.specimenID","pmx","ect","cle","pf5","pga","pgp","tpg","lps","lpt","ds1","ds2","ds3","ldf","stl","mcv","mav","mdf","maf","mpt","mds","ips","ptt","layer.old.to.young"
"473","k.10_033",1.88,5.26,NA,NA,1.9,NA,1.9,NA,1.27,NA,NA,1.91,3.85,40.92,20,13,10,9,5,1,1,3,10
"474","k.10_035",NA,6,5.92,NA,2.52,NA,2.52,NA,1.36,NA,4.04,1.73,4.17,41.65,19,14,9,8,5,2,1,3,10
"475","k.10_041",2.83,NA,NA,8.64,NA,NA,NA,NA,1.94,NA,NA,2,6.46,63.62,20,NA,10,8,5,1,NA,3,10
"476","k.10_051",4.51,9.38,NA,NA,2.72,NA,2.72,NA,2.34,NA,NA,1.56,5.84,54.04,19,14,10,9,5,1,1,2,10
"477","k.10_052",NA,NA,NA,NA,1.9,NA,1.9,NA,2.09,NA,2.79,1.59,3.8,45.86,19,14,8,7,6,2,1,2,10
"478","k.10_058",2.79,8.53,8.69,NA,2.27,5.01,7.28,NA,NA,NA,3.29,1.64,5.49,56.79,19,NA,10,9,6,2,1.6,3,10
"479","k.10_062",3.52,8.3,8.63,NA,2.26,NA,2.26,NA,1.82,NA,3.82,1.67,4.61,58.96,19,15,11,9,5,2,1,2,10
"480","k.10_068",3,NA,9.78,NA,2.11,3.89,6,NA,2.5,NA,4.42,2.14,NA,61.73,20,NA,10,9,6,2,1.6,3,10
"481","k.10_087",NA,9.5,NA,NA,2.7,NA,2.7,NA,1.77,NA,2.34,1.64,4.83,54.65,19,NA,11,10,5,2,1,2,10
"482","k.10_091",2.79,NA,9.08,NA,2.89,NA,2.89,NA,1.72,NA,3.76,1.77,4.71,49.35019,14,11,10,6,2,1,3,NA,10
"483","k.10_096",3.24,NA,8.2,NA,1.57,NA,1.57,NA,1.3,NA,NA,NA,5.34,54.5,19,14,9,8,5,0,1,2,10
"484","k.10_098",2.66,8.85,8.57,NA,1.99,NA,1.99,NA,1.7,NA,3.92,2.04,4.75,54.21,20,14,8,7,5,2,1,3,10
